=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.38s]  Mówię,
[3368.20s - 3368.20s]  ma,
[3368.20s - 3368.24s]  że
[3368.24s - 3374.04s]  nie
[3374.04s - 3374.24s]  ma,
[3374.24s - 3374.32s]  że
[3374.32s - 3375.18s]  nie
[3375.18s - 3375.36s]  ma,
[3375.36s - 3375.36s]  że
[3375.36s - 3376.18s]  nie
[3376.18s - 3376.56s]  ma,
[3376.56s - 3376.62s]  że
[3376.62s - 3376.88s]  nie
[3376.88s - 3376.88s]  ma,
[3376.88s - 3376.88s]  że
[3376.88s - 3376.88s]  nie
[3376.88s - 3376.88s]  ma,
[3376.88s - 3376.88s]  że
[3376.88s - 3376.88s]  nie
[3376.88s - 3377.24s]  ma,
[3377.24s - 3377.24s]  że
[3377.24s - 3377.50s]  nie
[3377.50s - 3377.66s]  ma,
[3377.66s - 3377.66s]  że
[3377.66s - 3378.08s]  nie
[3378.08s - 3378.08s]  ma,
[3378.08s - 3378.08s]  że
[3378.08s - 3378.08s]  nie
[3378.08s - 3378.08s]  ma,
[3378.08s - 3378.08s]  że
[3378.08s - 3378.08s]  nie
[3378.08s - 3378.08s]  ma,
[3378.08s - 3378.08s]  że
[3378.08s - 3378.08s]  nie
[3378.08s - 3378.08s]  ma,
[3378.08s - 3378.08s]  że
[3378.08s - 3378.30s]  nie
[3378.30s - 3379.12s]  ma,
[3379.12s - 3379.20s]  że
[3379.20s - 3379.20s]  nie
[3379.20s - 3379.20s]  ma,
[3379.20s - 3379.20s]  że
[3379.20s - 3379.20s]  nie
[3379.20s - 3379.20s]  ma,
[3379.20s - 3379.20s]  że
[3379.20s - 3379.20s]  nie
[3379.20s - 3379.20s]  ma,
[3379.20s - 3379.20s]  że
[3379.20s - 3379.20s]  nie
[3379.20s - 3379.20s]  ma,
[3379.20s - 3379.32s]  że
[3379.32s - 3380.66s]  nie
[3380.66s - 3380.72s]  ma,
[3380.72s - 3380.72s]  że
[3380.72s - 3380.72s]  nie
[3380.72s - 3380.72s]  ma,
[3380.72s - 3380.72s]  że
[3380.72s - 3381.28s]  nie
[3381.28s - 3381.62s]  ma,
[3381.62s - 3381.62s]  że
[3381.62s - 3381.62s]  nie
[3381.62s - 3381.66s]  ma,
[3381.66s - 3381.66s]  że
[3381.66s - 3381.66s]  nie
[3381.66s - 3382.40s]  ma,
[3382.40s - 3382.40s]  że
[3382.40s - 3382.40s]  nie
[3382.40s - 3382.40s]  ma,
[3382.40s - 3382.40s]  że
[3382.40s - 3382.40s]  nie
[3382.40s - 3382.40s]  ma,
[3382.40s - 3382.40s]  że
[3382.40s - 3382.40s]  nie
[3382.40s - 3382.60s]  ma,
[3382.60s - 3382.60s]  że
[3382.60s - 3382.60s]  nie
[3382.60s - 3382.60s]  ma,
[3382.60s - 3382.60s]  że
[3382.60s - 3382.60s]  nie
[3382.60s - 3382.64s]  ma,
[3382.64s - 3383.94s]  że
[3383.94s - 3383.98s]  nie
[3383.98s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3384.30s - 3384.30s]  że
[3384.30s - 3384.30s]  nie
[3384.30s - 3384.30s]  ma,
[3401.12s - 3401.12s]  know,
[3401.12s - 3401.12s]  I
[3401.12s - 3401.12s]  don't
[3401.12s - 3401.14s]  know,
[3401.14s - 3401.14s]  I
[3401.14s - 3401.14s]  don't
[3401.14s - 3401.14s]  know,
[3401.14s - 3401.14s]  I
[3401.14s - 3401.14s]  don't
[3401.14s - 3401.14s]  know,
[3401.14s - 3401.14s]  I
[3401.14s - 3401.14s]  don't
[3401.14s - 3401.14s]  know,
[3401.14s - 3401.14s]  I
[3401.14s - 3401.14s]  don't
[3401.14s - 3401.60s]  know,
[3401.60s - 3401.60s]  I
[3401.60s - 3401.60s]  don't
[3401.60s - 3401.60s]  know,
[3401.60s - 3401.60s]  I
[3401.60s - 3401.60s]  don't
[3401.60s - 3401.60s]  know,
[3401.60s - 3401.60s]  I
[3401.60s - 3401.60s]  don't
[3401.60s - 3401.60s]  know,
[3401.60s - 3401.60s]  I
[3401.60s - 3401.60s]  don't
[3401.60s - 3401.60s]  know,
[3401.60s - 3401.60s]  I
[3401.60s - 3401.60s]  don't
[3401.60s - 3401.60s]  know,
[3401.60s - 3401.60s]  I
[3401.60s - 3401.60s]  don't
[3401.60s - 3401.62s]  know,
[3401.62s - 3402.24s]  I
[3402.24s - 3402.40s]  don't
[3402.40s - 3402.82s]  know,
[3402.82s - 3403.16s]  I
[3403.16s - 3403.16s]  don
[3405.32s - 3405.32s]  going
[3405.32s - 3405.32s]  to
[3405.32s - 3405.32s]  change,
[3405.32s - 3405.32s]  I'm
[3405.32s - 3405.32s]  going
[3405.32s - 3405.32s]  to
[3405.32s - 3405.32s]  change,
[3405.32s - 3405.32s]  I'm
[3405.32s - 3405.32s]  going
[3405.32s - 3405.32s]  to
[3405.32s - 3405.32s]  change,
[3405.32s - 3405.32s]  I'm
[3405.32s - 3405.32s]  going
[3405.32s - 3405.32s]  to
[3405.32s - 3405.32s]  change,
[3405.32s - 3405.42s]  I'm
[3405.42s - 3405.42s]  going
[3405.42s - 3405.42s]  to
[3405.42s - 3405.42s]  change,
[3405.42s - 3405.70s]  I'm
[3405.70s - 3405.86s]  going
[3405.86s - 3405.86s]  to
[3405.86s - 3405.86s]  change,
[3405.86s - 3405.86s]  I'm
[3405.86s - 3405.86s]  going
[3405.86s - 3405.86s]  to
[3405.86s - 3405.86s]  change,
[3405.86s - 3406.36s]  I'm
[3406.36s - 3406.56s]  going
[3406.56s - 3406.60s]  to
[3406.60s - 3406.64s]  change,
[3406.64s - 3407.00s]  I'm
[3407.00s - 3407.02s]  going
[3407.02s - 3407.22s]  to
[3407.22s - 3407.22s]  change,
[3407.22s - 3407.56s]  I'm
[3407.56s - 3407.56s]  going
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3438.18s]  I'm
[3438.18s - 3438.18s]  not
[3438.18s - 3438.18s]  sure
[3438.18s - 3438.18s]  if
[3438.18s - 3438.18s]  I
[3438.18s - 3438.18s]  can
[3438.18s - 3438.18s]  do
[3438.18s - 3438.18s]  it,
[3438.18s - 3438.18s]  but
[3438.18s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3439.08s - 3439.08s]  I'm
[3439.08s - 3439.08s]  not
[3439.08s - 3439.08s]  sure
[3439.08s - 3439.08s]  if
[3439.08s - 3439.08s]  I
[3439.08s - 3439.08s]  can
[3439.08s - 3439.08s]  do
[3439.08s - 3439.08s]  it,
[3439.08s - 3439.08s]  but
[3463.32s - 3463.32s]  no,
[3463.32s - 3463.32s]  no,
[3463.32s - 3463.32s]  no,
[3463.32s - 3463.32s]  no,
[3463.32s - 3463.32s]  no,
[3463.32s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.34s]  no,
[3463.34s - 3463.42s]  no,
[3463.42s - 3463.42s]  no,
[3463.42s - 3463.42s]  no,
[3463.42s - 3463.42s]  no,
[3463.42s - 3463.42s]  no,
[3463.42s - 3463.42s]  no,
[3463.42s - 3463.52s]  no,
[3463.52s - 3463.52s]  no,
[3463.52s - 3463.52s]  no,
[3463.52s - 3463.54s]  no,
[3463.54s - 3463.54s]  no,
[3463.54s - 3463.54s]  no,
[3463.54s - 3465.44s]  no,
[3465.44s - 3465.44s]  no,
[3465.44s - 3465.64s]  no,
[3465.64s - 3465.64s]  no,
[3465.64s - 3465.64s]  no,
[3465.64s - 3465.64s]  no,
[3465.64s - 3465.64s]  no,
[3465.64s - 3465.64s]  no,
[3465.64s - 3466.12s]  no,
[3466.12s - 3466.12s]  no,
[3466.12s - 3466.66s]  no,
[3466.66s - 3466.66s]  no,
[3483.34s - 3483.34s]  for
[3483.34s - 3483.34s]  your
[3483.34s - 3483.34s]  time,
[3483.34s - 3483.34s]  and
[3483.34s - 3483.34s]  thank
[3483.34s - 3483.34s]  you
[3483.34s - 3483.34s]  very
[3483.34s - 3483.34s]  much
[3483.34s - 3483.34s]  for
[3483.34s - 3483.34s]  your
[3483.34s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3483.86s]  time,
[3483.86s - 3483.86s]  and
[3483.86s - 3483.86s]  thank
[3483.86s - 3483.86s]  you
[3483.86s - 3483.86s]  very
[3483.86s - 3483.86s]  much
[3483.86s - 3483.86s]  for
[3483.86s - 3483.86s]  your
[3483.86s - 3485.32s]  time,
[3485.32s - 3485.32s]  and
[3485.32s - 3485.32s]  thank
[3485.32s - 3485.82s]  you
[3485.82s - 3485.82s]  very
[3485.82s - 3485.82s]  much
[3485.82s - 3485.82s]  for
[3485.82s - 3485.82s]  your
[3485.82s - 3485.82s]  time,
[3485.82s - 3485.82s]  and
[3485.82s - 3485.82s]  thank
[3485.82s - 3485.82s]  you
[3485.82s - 3485.82s]  very
[3485.82s - 3485.82s]  much
[3485.82s - 3485.82s]  for
[3485.82s - 3485.82s]  your
[3485.82s - 3485.82s]  time,
[3485.82s - 3485.82s]  and
[3485.82s - 3485.82s]  thank
[3485.82s - 3486.82s]  you
[3486.82s - 3486.82s]  very
[3486.82s - 3486.82s]  much
[3486.82s - 3486.82s]  for
[3486.82s - 3486.82s]  your
[3486.82s - 3486.82s]  time,
[3486.82s - 3486.82s]  and
[3486.82s - 3486.82s]  thank
[3486.82s - 3486.86s]  you
[3486.86s - 3486.86s]  very
[3486.86s - 3486.86s]  much
[3486.86s - 3486.86s]  for
[3486.86s - 3486.86s]  your
[3486.86s - 3487.02s]  time,
[3487.02s - 3487.14s]  and
[3487.14s - 3487.14s]  thank
[3487.14s - 3488.60s]  you
[3488.60s - 3488.60s]  very
[3488.60s - 3488.60s]  much
[3488.60s - 3488.60s]  for
[3488.60s - 3488.60s]  your
[3488.60s - 3488.60s]  time,
[3488.60s - 3488.60s]  and
[3488.60s - 3488.60s]  thank
[3488.60s - 3488.60s]  you
[3488.60s - 3488.60s]  very
[3488.60s - 3488.60s]  much
[3488.60s - 3488.60s]  for
[3488.60s - 3488.60s]  your
[3488.60s - 3488.60s]  time,
[3488.60s - 3488.60s]  and
[3488.60s - 3488.60s]  thank
[3488.60s - 3488.60s]  you
[3488.60s - 3488.60s]  very
[3488.60s - 3488.60s]  much
[3488.60s - 3488.60s]  for
[3488.60s - 3488.60s]  your
[3488.60s - 3488.60s]  time,
[3488.60s - 3488.60s]  and
[3488.60s - 3488.60s]  thank
[3488.60s - 3488.70s]  you
[3488.70s - 3488.70s]  very
[3488.70s - 3488.70s]  much
[3488.70s - 3488.74s]  for
[3488.74s - 3488.74s]  your
[3488.74s - 3488.74s]  time,
[3488.74s - 3488.82s]  and
[3488.82s - 3489.06s]  thank
[3489.06s - 3489.06s]  you
[3489.06s - 3489.06s]  very
[3489.06s - 3489.06s]  much
[3489.06s - 3489.06s]  for
[3489.06s - 3489.06s]  your
[3489.06s - 3489.06s]  time,
[3489.06s - 3489.06s]  and
[3489.06s - 3489.06s]  thank
[3489.06s - 3489.06s]  you
[3489.06s - 3489.06s]  very
[3489.06s - 3489.06s]  much
[3489.06s - 3489.06s]  for
[3489.06s - 3489.06s]  your
[3489.06s - 3489.06s]  time,
[3489.06s - 3489.06s]  and
[3489.06s - 3489.06s]  thank
[3489.06s - 3489.06s]  you
[3489.06s - 3489.06s]  very
[3489.06s - 3489.06s]  much
[3489.06s - 3489.06s]  for
[3489.06s - 3489.06s]  your
[3489.06s - 3489.06s]  time,
[3489.06s - 3489.06s]  and
[3489.06s - 3489.16s]  thank
[3489.16s - 3489.16s]  you
[3489.16s - 3489.24s]  very
[3489.24s - 3489.24s]  much
[3489.24s - 3489.42s]  for
[3489.42s - 3489.82s]  your
[3489.82s - 3489.82s]  time,
[3489.82s - 3489.82s]  and
[3489.82s - 3489.82s]  thank
[3489.82s - 3489.82s]  you
[3489.82s - 3489.86s]  very
[3489.86s - 3489.86s]  much
[3489.86s - 3489.86s]  for
[3489.86s - 3489.86s]  your
[3489.86s - 3489.86s]  time,
[3489.86s - 3489.86s]  and
[3489.86s - 3489.86s]  thank
[3489.86s - 3489.86s]  you
[3489.86s - 3489.86s]  very
[3480.00s - 3487.22s]  1
[3487.22s - 3499.80s] -2
[3499.80s - 3499.80s] -3
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3499.80s] -4
[3499.80s - 3500.12s] -4
[3500.12s - 3500.12s] -4
[3500.12s - 3500.12s] -4
[3500.12s - 3500.12s] -4
